time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-11-01,Deluxe,209.88,1,209.88
2025-11-01,Standard,279.84,2,139.92
2025-11-02,Deluxe,209.88,1,209.88
2025-11-02,Standard,279.84,4,69.96
2025-11-02,Suite,291.50,1,291.50
2025-11-03,Deluxe,209.88,1,209.88
2025-11-03,Standard,419.76,2,209.88
2025-11-03,Suite,291.50,1,291.50
2025-11-04,Deluxe,209.88,1,209.88
2025-11-04,Standard,139.92,1,139.92
2025-11-04,Suite,291.50,1,291.50
2025-11-06,Deluxe,419.76,2,209.88
2025-11-06,Standard,419.76,3,139.92
2025-11-06,Suite,291.50,1,291.50
2025-11-07,Standard,139.92,1,139.92
2025-11-07,Suite,291.50,1,291.50
