time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-07,Deluxe,6506.28,13,500.48
2025-07,Standard,11473.44,36,318.71
2025-07,Suite,12243.00,19,644.37
2025-08,Deluxe,10074.24,25,402.97
2025-08,Standard,15111.36,45,335.81
2025-08,Suite,15158.00,26,583.00
2025-09,Deluxe,8814.96,18,489.72
2025-09,Standard,9234.72,31,297.89
2025-09,Suite,10202.50,18,566.81
2025-10,Deluxe,13432.32,24,559.68
2025-10,Standard,13012.56,48,271.09
2025-10,Suite,12534.50,19,659.71
2025-11,Deluxe,419.76,1,419.76
2025-11,Standard,139.92,1,139.92
2025-11,Suite,291.50,1,291.50
