time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-05-26,Deluxe,419.76,1,419.76
2025-05-26,Standard,1259.28,2,629.64
2025-05-26,Suite,874.50,1,874.50
2025-06-02,Deluxe,1469.16,3,489.72
2025-06-02,Standard,3777.84,11,343.44
2025-06-02,Suite,2332.00,4,583.00
2025-06-09,Deluxe,839.52,4,209.88
2025-06-09,Standard,2658.48,9,295.39
2025-06-09,Suite,2332.00,4,583.00
2025-06-16,Deluxe,1049.40,2,524.70
2025-06-16,Standard,2378.64,8,297.33
2025-06-16,Suite,2623.50,4,655.88
2025-06-23,Deluxe,3567.96,5,713.59
2025-06-23,Standard,3498.00,10,349.80
2025-06-23,Suite,2332.00,3,777.33
2025-06-30,Deluxe,1469.16,3,489.72
2025-06-30,Standard,1679.04,6,279.84
2025-06-30,Suite,2332.00,5,466.40
2025-07-07,Deluxe,1469.16,2,734.58
2025-07-07,Standard,2098.80,8,262.35
2025-07-07,Suite,2040.50,3,680.17
2025-07-14,Deluxe,2308.68,5,461.74
2025-07-14,Standard,3637.92,10,363.79
2025-07-14,Suite,3206.50,4,801.62
2025-07-21,Deluxe,839.52,2,419.76
2025-07-21,Standard,2238.72,7,319.82
2025-07-21,Suite,3498.00,6,583.00
2025-07-28,Deluxe,2308.68,6,384.78
2025-07-28,Standard,2658.48,9,295.39
2025-07-28,Suite,4081.00,5,816.20
2025-08-04,Deluxe,4407.48,7,629.64
2025-08-04,Standard,2238.72,10,223.87
2025-08-04,Suite,2915.00,6,485.83
2025-08-11,Deluxe,2938.32,7,419.76
2025-08-11,Standard,4057.68,11,368.88
2025-08-11,Suite,2332.00,5,466.40
2025-08-18,Deluxe,4407.48,6,734.58
2025-08-18,Standard,2098.80,9,233.20
2025-08-18,Suite,3206.50,5,641.30
2025-08-25,Deluxe,2728.44,6,454.74
2025-08-25,Standard,3358.08,12,279.84
2025-08-25,Suite,1749.00,4,437.25
2025-09-01,Deluxe,1049.40,3,349.80
2025-09-01,Standard,2518.56,8,314.82
2025-09-01,Suite,2915.00,4,728.75
2025-09-08,Deluxe,1888.92,4,472.23
2025-09-08,Standard,2098.80,8,262.35
2025-09-08,Suite,4372.50,5,874.50
2025-09-15,Deluxe,1679.04,4,419.76
2025-09-15,Standard,1539.12,7,219.87
2025-09-15,Suite,2915.00,4,728.75
2025-09-22,Deluxe,2098.80,5,419.76
2025-09-22,Standard,1259.28,6,209.88
2025-09-22,Suite,3206.50,4,801.62
2025-09-29,Deluxe,2938.32,5,587.66
2025-09-29,Standard,2098.80,9,233.20
2025-09-29,Suite,2332.00,4,583.00
2025-10-06,Deluxe,1888.92,4,472.23
2025-10-06,Standard,2798.40,10,279.84
2025-10-06,Suite,2915.00,6,485.83
2025-10-13,Deluxe,1888.92,5,377.78
2025-10-13,Standard,1259.28,7,179.90
2025-10-13,Suite,2623.50,4,655.88
2025-10-20,Deluxe,3567.96,7,509.71
2025-10-20,Standard,3358.08,10,335.81
2025-10-20,Suite,3498.00,6,583.00
2025-10-27,Deluxe,419.76,2,209.88
2025-10-27,Standard,5037.12,12,419.76
2025-10-27,Suite,2623.50,4,655.88
2025-11-03,Deluxe,1469.16,3,489.72
2025-11-03,Standard,2518.56,8,314.82
2025-11-03,Suite,2915.00,4,728.75
2025-11-10,Deluxe,1049.40,3,349.80
2025-11-10,Standard,1259.28,2,629.64
2025-11-10,Suite,1749.00,2,874.50
